,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%,,,,,,,,,,,
att3PT[12],0.0013,0.0425,0.0008,0.0009,-0.0850,-0.0260,0.0024,0.0294,0.0818,,,,,,,,,,,
att3PT[13],0.0244,0.0420,0.0008,0.0009,-0.0562,-0.0050,0.0240,0.0533,0.1072,,,,,,,,,,,
att3PT[14],-0.2795,0.0470,0.0009,0.0011,-0.3746,-0.3105,-0.2797,-0.2480,-0.1880,,,,,,,,,,,
att3PT[15],0.0931,0.0414,0.0008,0.0009,0.0102,0.0665,0.0944,0.1209,0.1731,,,,,,,,,,,
att3PT[16],-0.0375,0.0437,0.0008,0.0011,-0.1238,-0.0667,-0.0371,-0.0065,0.0456,,,,,,,,,,,
att3PT[17],0.0166,0.0417,0.0008,0.0010,-0.0671,-0.0101,0.0163,0.0444,0.0979,,,,,,,,,,,
att3PT[18],0.1982,0.0386,0.0007,0.0009,0.1223,0.1723,0.1983,0.2242,0.2749,,,,,,,,,,,
att3PT[19],0.0426,0.0416,0.0008,0.0010,-0.0382,0.0145,0.0430,0.0706,0.1232,,,,,,,,,,,
att3PT[20],0.4278,0.0353,0.0006,0.0008,0.3570,0.4043,0.4281,0.4512,0.4981,,,,,,,,,,,
att3PT[21],-0.4612,0.0509,0.0009,0.0012,-0.5639,-0.4944,-0.4604,-0.4279,-0.3590,,,,,,,,,,,
att3PT[22],0.4086,0.0348,0.0006,0.0008,0.3403,0.3847,0.4094,0.4327,0.4751,,,,,,,,,,,
att3PT[23],-0.4271,0.0512,0.0009,0.0013,-0.5259,-0.4599,-0.4271,-0.3909,-0.3287,,,,,,,,,,,
att3PT[24],0.0426,0.0414,0.0008,0.0008,-0.0411,0.0160,0.0418,0.0708,0.1236,,,,,,,,,,,
att3PT[25],0.1027,0.0403,0.0007,0.0010,0.0222,0.0764,0.1035,0.1288,0.1825,,,,,,,,,,,
att3PT[26],0.0882,0.0409,0.0007,0.0010,0.0063,0.0600,0.0879,0.1161,0.1647,,,,,,,,,,,
att3PT[27],0.1495,0.0397,0.0007,0.0009,0.0711,0.1241,0.1494,0.1766,0.2275,,,,,,,,,,,
att3PT[28],-0.0967,0.0432,0.0008,0.0010,-0.1798,-0.1257,-0.0970,-0.0666,-0.0138,,,,,,,,,,,
att3PT[29],-0.2950,0.0481,0.0009,0.0011,-0.3917,-0.3267,-0.2948,-0.2617,-0.2028,,,,,,,,,,,
att3PT[30],-0.2751,0.0464,0.0008,0.0010,-0.3676,-0.3067,-0.2756,-0.2427,-0.1857,,,,,,,,,,,
def3PT[1],-0.0311,0.0400,0.0007,0.0009,-0.1110,-0.0578,-0.0307,-0.0037,0.0441,,,,,,,,,,,
def3PT[2],-0.0731,0.0408,0.0007,0.0010,-0.1529,-0.1017,-0.0726,-0.0456,0.0068,,,,,,,,,,,
def3PT[3],0.0155,0.0380,0.0007,0.0008,-0.0592,-0.0109,0.0161,0.0426,0.0888,,,,,,,,,,,
def3PT[4],-0.1010,0.0404,0.0007,0.0009,-0.1819,-0.1288,-0.0996,-0.0722,-0.0253,,,,,,,,,,,
def3PT[5],-0.0943,0.0396,0.0007,0.0009,-0.1724,-0.1206,-0.0932,-0.0683,-0.0153,,,,,,,,,,,
def3PT[6],-0.0346,0.0382,0.0007,0.0009,-0.1107,-0.0606,-0.0344,-0.0086,0.0395,,,,,,,,,,,
def3PT[7],0.0977,0.0376,0.0007,0.0009,0.0239,0.0728,0.0973,0.1234,0.1736,,,,,,,,,,,
def3PT[8],-0.2026,0.0432,0.0008,0.0010,-0.2903,-0.2315,-0.2028,-0.1734,-0.1190,,,,,,,,,,,
def3PT[9],0.0675,0.0384,0.0007,0.0009,-0.0044,0.0414,0.0672,0.0938,0.1447,,,,,,,,,,,
def3PT[10],-0.1206,0.0429,0.0008,0.0011,-0.2051,-0.1494,-0.1196,-0.0915,-0.0359,,,,,,,,,,,
def3PT[11],0.0439,0.0377,0.0007,0.0009,-0.0317,0.0191,0.0435,0.0691,0.1167,,,,,,,,,,,
def3PT[12],-0.0078,0.0395,0.0007,0.0009,-0.0835,-0.0351,-0.0076,0.0189,0.0704,,,,,,,,,,,
def3PT[13],0.0707,0.0391,0.0007,0.0009,-0.0052,0.0442,0.0716,0.0975,0.1452,,,,,,,,,,,
def3PT[14],-0.0147,0.0395,0.0007,0.0009,-0.0924,-0.0413,-0.0156,0.0131,0.0596,,,,,,,,,,,
def3PT[15],0.0725,0.0388,0.0007,0.0009,-0.0029,0.0461,0.0728,0.0988,0.1514,,,,,,,,,,,
def3PT[16],0.0136,0.0380,0.0007,0.0009,-0.0579,-0.0126,0.0136,0.0397,0.0873,,,,,,,,,,,
def3PT[17],-0.0047,0.0394,0.0007,0.0009,-0.0825,-0.0305,-0.0041,0.0216,0.0720,,,,,,,,,,,
def3PT[18],0.0940,0.0386,0.0007,0.0008,0.0208,0.0680,0.0940,0.1204,0.1698,,,,,,,,,,,
def3PT[19],0.0564,0.0392,0.0007,0.0009,-0.0226,0.0317,0.0561,0.0813,0.1332,,,,,,,,,,,
def3PT[20],0.0598,0.0397,0.0007,0.0009,-0.0186,0.0337,0.0590,0.0858,0.1410,,,,,,,,,,,
def3PT[21],-0.0350,0.0399,0.0007,0.0009,-0.1123,-0.0621,-0.0357,-0.0071,0.0424,,,,,,,,,,,
def3PT[22],-0.1601,0.0440,0.0008,0.0010,-0.2466,-0.1893,-0.1584,-0.1295,-0.0741,,,,,,,,,,,
def3PT[23],0.0426,0.0381,0.0007,0.0009,-0.0294,0.0163,0.0430,0.0693,0.1175,,,,,,,,,,,
def3PT[24],0.1354,0.0378,0.0007,0.0009,0.0614,0.1090,0.1358,0.1604,0.2103,,,,,,,,,,,
def3PT[25],-0.0763,0.0411,0.0008,0.0010,-0.1599,-0.1035,-0.0772,-0.0475,0.0019,,,,,,,,,,,
def3PT[26],0.0677,0.0380,0.0007,0.0009,-0.0075,0.0431,0.0675,0.0929,0.1462,,,,,,,,,,,
def3PT[27],-0.1486,0.0422,0.0008,0.0010,-0.2329,-0.1772,-0.1479,-0.1205,-0.0673,,,,,,,,,,,
def3PT[28],0.1131,0.0373,0.0007,0.0009,0.0407,0.0882,0.1135,0.1376,0.1845,,,,,,,,,,,
def3PT[29],-0.0152,0.0403,0.0007,0.0010,-0.0948,-0.0417,-0.0154,0.0112,0.0668,,,,,,,,,,,
def3PT[30],0.1689,0.0361,0.0007,0.0008,0.0983,0.1443,0.1692,0.1940,0.2374,,,,,,,,,,,
home3PT,0.0065,0.0155,0.0003,0.0006,-0.0252,-0.0038,0.0066,0.0169,0.0367,,,,,,,,,,,
c3PT,1.8632,0.0111,0.0002,0.0005,1.8418,1.8558,1.8630,1.8703,1.8859,,,,,,,,,,,
